Location,Area,Population,Reg_cars,Stations
,,,,
2,663267,710231,1970,448
,,,,
4,113998,6392017,65780,330
,,,,
6,163695,37253956,903620,16652
,,,,
8,104093,5029196,59910,2270
,,,,
12,65755,18801310,167990,3486
,,,,
13,59425,9687653,60120,2039
,,,,
15,10931,1360301,19760,385
,,,,
16,83570,1567582,5940,385
,,,,
17,57914,12830632,66880,217
,,,,
18,56271,3046355,6220,604
,,,,
20,82276,2853118,7550,559
,,,,
23,35385,1328361,4990,3136
,,,,
26,96716,9883640,33150,1503
,,,,
27,86938,5303925,24330,808
,,,,
28,69704,5988144,17870,170
,,,,
30,147042,989415,3260,131
,,,,
37,77353,1826341,4570,1637
,,,,
38,110560,2700551,32950,98
,,,,
34,121589,2059179,7080,1352
,,,,
35,54556,19378102,84670,311
,,,,
32,53818,9535483,45590,606
,,,,
39,44825,11536504,34060,1663
,,,,
40,69899,3751351,16290,364
,,,,
41,98380,3831074,46980,1291
,,,,
42,46056,12702379,47440,1802
,,,,
46,77353,814180,22040,98
,,,,
47,42144,6346165,149000,952
,,,,
48,268580,25145561,28050,3339
,,,,
51,84898,2763885,56610,1615
,,,,
50,9615,625741,104050,397
,,,,
55,71300,6724540,15700,604
