Location,Area,Population,Reg_cars,Stations
,,,,
AK,52419,4779736,8730,3339
,,,,
AZ,53179,2915918,5140,3339
,,,,
CT,5544,3574097,22030,3486
,,,,
DC,2489,897934,5390,3486
,,,,
DE,68,601723,5860,3486
,,,,
IL,36418,6483802,17710,311
,,,,
KY,40410,4339367,7560,1503
,,,,
LA,51840,4533372,5880,3339
,,,,
MD,12407,5773552,46060,3486
,,,,
ME,10555,6547629,49440,3486
,,,,
MO,48431,2967297,2420,3339
,,,,
NE,9350,1316470,6990,2039
,,,,
NH,8722,8791894,87030,3486
,,,,
NY,70700,672591,640,98
,,,,
PR,3515,3725789,4340,311
,,,,
RI,1545,1052567,13490,3486
,,,,
SC,32020,4625364,1170,311
,,,,
UT,3794083,308745538,5260,3339
,,,,
WA,42774,8001024,1870,311
,,,,
WV,24230,1852994,840,3339
