VIN (1-10),County,City,State
JTMEB3FV6N,Monroe,Key West,FL
1G1RD6E45D,Clark,Laughlin,NV
JN1AZ0CP8B,Yakima,Yakima,WA
1G1FW6S08H,Skagit,Concrete,WA
3FA6P0SU1K,Snohomish,Everett,WA
5YJ3E1EB5J,Snohomish,Bothell,WA
1N4AZ0CP4D,Snohomish,Everett,WA
1N4AZ0CP0D,Snohomish,Mukilteo,WA
1N4BZ0CP4G,Island,Clinton,WA
KNDJP3AE2G,Skagit,Anacortes,WA
WA1F2AFY1L,Thurston,Lacey,WA
5YJXCBE23L,Grant,Moses Lake,WA
3C3CFFGE3G,St. Clair,Mascoutah,IL
1G1RD6S50G,Thurston,Rochester,WA
5YJ3E1EA1J,Skagit,Burlington,WA
1N4BZ1CP4K,Snohomish,Everett,WA
1N4AZ0CP4D,Pierce,Kapowsin,WA
1N4BZ0CP4H,Snohomish,Marysville,WA
5UXKT0C50G,Snohomish,Lynnwood,WA
5YJXCAE28G,Saratoga,Greenfield Center,NY
5YJ3E1EA6J,Snohomish,Edmonds,WA
1G1RD6S55H,Stevens,Nine Mile Falls,WA
1N4AZ1CV8M,Thurston,Olympia,WA
1N4BZ0CP9H,Snohomish,Everett,WA
WBAJB1C51K,Snohomish,Lynnwood,WA
1N4AZ1CP0J,King,Seattle,WA
5YJ3E1EA9L,King,Auburn,WA
WP0AC2Y19L,Thurston,Olympia,WA
5UXTS1C05M,King,Seattle,WA
1N4BZ0CP4H,Snohomish,Edmonds,WA
WAUSPBFF4G,Snohomish,Bothell,WA
5YJXCBE24H,Island,Langley,WA
5YJ3E1EB2K,Yakima,Yakima,WA
KNDJX3AE6J,Thurston,Lacey,WA
5YJ3E1EAXJ,Thurston,Olympia,WA
5YJ3E1EA5K,Snohomish,Everett,WA
1FADP5CU3D,Snohomish,Snohomish,WA
3C3CFFGE1D,Snohomish,Edmonds,WA
5YJ3E1EB3K,Kitsap,Bremerton,WA
5YJSA1E2XJ,Snohomish,Lynnwood,WA
1FTVW1EL4N,Snohomish,Everett,WA
5YJSA1E22G,Newport News,Newport News,VA
1G6KA5RX3J,Yakima,Yakima,WA
5YJSA1E27F,Yakima,Yakima,WA
WBY1Z4C5XG,Jackson,Altus,OK
5YJ3E1EB9K,Thurston,Olympia,WA
1FADP5CU3D,Whitman,Pullman,WA
5YJ3E1EB3J,Lake,Highland Park,IL
1N4BZ0CP5G,Spokane,Spokane,WA
1G1FZ6S05L,Kitsap,Suquamish,WA
1FADP5CU9E,Snohomish,Edmonds,WA
5YJ3E1EA9L,Snohomish,Monroe,WA
JHMZC5F30J,Clallam,Sequim,WA
5YJ3E1EB3J,Kitsap,Keyport,WA
5YJ3E1EAXK,Thurston,Olympia,WA
5YJYGDEE2L,Lake,Gurnee,IL
1N4AZ0CP6D,King,Seattle,WA
1G1FZ6S00L,King,Maple Valley,WA
WBY1Z4C5XG,Snohomish,Marysville,WA
1N4AZ0CP6D,King,Kent,WA
5YJ3E1EB9K,King,Lake Forest Park,WA
1N4AZ0CP5F,Kitsap,Poulsbo,WA
1N4BZ1CV1N,Snohomish,Snohomish,WA
1G1FX6S07N,King,Redmond,WA
JN1AZ0CP0C,Snohomish,Bothell,WA
7SAYGAEE8N,King,Issaquah,WA
1G1FY6S0XN,Cowlitz,Longview,WA
5YJYGDEE9M,Pierce,Tacoma,WA
5YJSA1H29F,Snohomish,Mukilteo,WA
KNDCC3LG0L,Kittitas,Ellensburg,WA
JA4J24A55J,King,Burien,WA
5YJ3E1EA7K,Pierce,Gig Harbor,WA
5YJYGDED1M,Pierce,South Hill,WA
5YJ3E1EB8L,King,Sammamish,WA
3FA6P0PUXG,King,Seattle,WA
5YJYGDEE0M,Grays Harbor,Westport,WA
1G1FZ6S07L,Clark,Vancouver,WA
5YJYGAEE4M,King,Bothell,WA
2C4RC1N71L,Spokane,Airway Heights,WA
5YJXCBE25G,King,Sammamish,WA
5YJYGDEF7L,King,Mercer Island,WA
5YJ3E1EA9J,Snohomish,Stanwood,WA
7FCTGAAL0N,King,Redmond,WA
JHMZC5F3XJ,Thurston,Tumwater,WA
1N4BZ1BP9L,Kitsap,Bainbridge Island,WA
