COUNTY,POP_2023
Adams,21200
Adams,9585
Adams,11615
Adams,80
Adams,535
Adams,9005
Adams,1785
Adams,210
Asotin,22650
Asotin,14205
Asotin,8445
Asotin,1225
Asotin,7220
Benton,215500
Benton,37615
Benton,177885
Benton,3810
Benton,86470
Benton,6445
Benton,63320
Benton,17840
Chelan,81500
Chelan,33875
Chelan,47625
Chelan,3355
Chelan,4470
Chelan,1360
Chelan,2590
Chelan,35850
Clallam,78075
Clallam,46090
Clallam,31985
Clallam,3395
Clallam,20240
Clallam,8350
Clark,527400
Clark,240155
Clark,287245
Clark,21910
Clark,27420
Clark,3890
Clark,15180
Clark,199600
Clark,17490
Clark,85
Clark,1670
Columbia,3950
Columbia,1385
Columbia,2565
Columbia,2445
Columbia,120
Cowlitz,113000
Cowlitz,50105
Cowlitz,62895
Cowlitz,2460
Cowlitz,3070
Cowlitz,12750
Cowlitz,38130
Cowlitz,6485
Douglas,44500
Douglas,24890
Douglas,19610
Douglas,2155
Douglas,200
Douglas,14210
Douglas,330
Douglas,1570
Douglas,1145
Ferry,7300
Ferry,6300
Ferry,1000
Ferry,1000
Franklin,101100
Franklin,14325
Franklin,86775
Franklin,4960
Franklin,145
Franklin,390
Franklin,81280
Garfield,2300
Garfield,905
Garfield,1395
Garfield,1395
Grant,103300
Grant,46660
Grant,56640
Grant,560
Grant,0
Grant,965
Grant,8690
Grant,885
Grant,960
Grant,180
Grant,45
Grant,3575
Grant,26210
Grant,8065
Grant,1910
Grant,1765
Grant,2625
Grant,205
Grays Harbor,77000
Grays Harbor,29370
Grays Harbor,47630
Grays Harbor,17080
Grays Harbor,1670
Grays Harbor,3480
Grays Harbor,8795
Grays Harbor,2120
Grays Harbor,4090
Grays Harbor,720
Grays Harbor,7380
Grays Harbor,2295
Island,88150
Island,60210
Island,27940
Island,1995
Island,1165
Island,24780
Jefferson,33425
Jefferson,23095
Jefferson,10330
Jefferson,10330
King,2347800
King,249060
King,2098740
King,3315
King,78760
King,315
King,154600
King,6880
King,29280
