county,lat,lng
Los Angeles,34.3219,-118.2247
Cook,41.8401,-87.8168
Harris,29.8578,-95.3938
Maricopa,33.349,-112.4915
San Diego,33.0343,-116.7351
Orange,33.7031,-117.7609
Miami-Dade,25.615,-80.5624
Kings,40.6413,-73.9383
Dallas,32.7666,-96.7778
Riverside,33.7437,-115.9938
Queens,40.7035,-73.8196
Clark,36.2152,-115.0135
King,47.4902,-121.8052
San Bernardino,34.8414,-116.1785
Tarrant,32.7719,-97.2911
Bexar,29.4489,-98.52
Broward,26.1523,-80.4871
Santa Clara,37.2318,-121.6951
Wayne,42.2822,-83.283
Alameda,37.6469,-121.8887
New York,40.7793,-73.9668
Middlesex,42.4856,-71.3918
Philadelphia,40.0077,-75.1339
Sacramento,38.4493,-121.3443
Suffolk,40.8681,-72.8454
Palm Beach,26.6476,-80.4655
Hillsborough,27.9292,-82.3088
Bronx,40.8501,-73.8671
Orange,28.5144,-81.3235
Nassau,40.7326,-73.5862
Franklin,39.9695,-83.0093
Travis,30.3344,-97.782
Oakland,42.6604,-83.3858
Hennepin,45.0046,-93.477
Cuyahoga,41.4243,-81.6586
Allegheny,40.4688,-79.9812
Salt Lake,40.6673,-111.9236
Contra Costa,37.9192,-121.9275
Fairfax,38.8368,-77.277
Wake,35.7903,-78.6503
Mecklenburg,35.2467,-80.8328
Collin,33.188,-96.5724
Fulton,33.7902,-84.467
Montgomery,39.1363,-77.2042
Pima,32.0974,-111.7899
Honolulu,21.5009,-158.106
Fresno,36.7582,-119.6493
St. Louis,38.6407,-90.4434
Westchester,41.1626,-73.7561
Duval,30.3313,-81.6715
Capitol,41.8185,-72.572
Marion,39.7817,-86.1385
Pinellas,27.9198,-82.7255
Gwinnett,33.9617,-84.0236
Prince George's,38.8295,-76.8473
Bergen,40.9597,-74.0742
Erie,42.7639,-78.7323
Milwaukee,43.0072,-87.9669
DuPage,41.852,-88.0856
Shelby,35.1842,-89.894
Pierce,47.0239,-122.104
Denton,33.2055,-97.1168
Kern,35.3426,-118.7301
Macomb,42.6957,-82.9323
Hidalgo,26.3969,-98.1812
El Paso,31.7686,-106.2348
Middlesex,40.4391,-74.4117
Worcester,42.3514,-71.9077
Montgomery,40.2108,-75.3673
Essex,40.788,-74.2481
San Francisco,37.7556,-122.445
Baltimore,39.4627,-76.6393
Ventura,34.4561,-119.0836
Fort Bend,29.5275,-95.7709
Snohomish,48.0474,-121.6972
Hamilton,39.1955,-84.5428
Multnomah,45.5468,-122.4149
Essex,42.6732,-70.9524
Oklahoma,35.5515,-97.4072
Suffolk,42.3328,-71.0735
San Joaquin,37.9348,-121.2714
Jefferson,38.1872,-85.6591
Lee,26.578,-81.8332
Cobb,33.9415,-84.5767
DeKalb,33.7716,-84.2264
Monroe,43.1464,-77.6961
San Mateo,37.4228,-122.3291
Polk,27.9489,-81.6976
El Paso,38.8321,-104.5254
Norfolk,42.1603,-71.2118
Jackson,39.0085,-94.3461
Lake,42.3233,-88.0037
Hudson,40.7408,-74.0751
Denver,39.762,-104.8758
Davidson,36.1695,-86.7848
Will,41.445,-87.9786
Bernalillo,35.0514,-106.6701
Jefferson,33.5543,-86.8964
District of Columbia,38.9047,-77.0163
Tulsa,36.1211,-95.9415
Utah,40.1199,-111.6702
Providence,41.8721,-71.58
Kent,43.0322,-85.5493
Arapahoe,39.6498,-104.3393
Bucks,40.337,-75.1069
Monmouth,40.2601,-74.2216
Ocean,39.8856,-74.2814
Montgomery,30.3002,-95.503
Western Connecticut,41.3225,-73.4475
Williamson,30.6475,-97.6004
Johnson,38.8838,-94.8223
Brevard,28.2937,-80.7323
Washington,45.56,-123.0984
Anne Arundel,39.0065,-76.6051
Baltimore,39.3051,-76.6144
